size_bytes,avg_alloc_time_ns
1024,173
2048,175
3072,165
4096,182
5120,168
6144,159
7168,154
8192,175
9216,153
10240,152
11264,173
12288,165
13312,160
14336,149
15360,147
16384,147
17408,148
18432,146
19456,147
20480,146
21504,148
22528,145
23552,147
24576,161
25600,151
26624,146
27648,160
28672,159
29696,151
30720,145
31744,146
32768,146
33792,148
34816,152
35840,146
36864,142
37888,141
38912,146
39936,139
40960,138
41984,140
43008,138
44032,138
45056,138
46080,147
47104,138
48128,138
49152,145
50176,140
51200,138
52224,139
53248,146
54272,140
55296,138
56320,146
57344,132
58368,132
59392,131
60416,147
61440,152
62464,137
63488,139
64512,134
65536,131
66560,133
67584,132
68608,132
69632,137
70656,134
71680,132
72704,132
73728,131
74752,134
75776,131
76800,132
77824,139
78848,127
79872,125
80896,132
81920,125
82944,128
83968,125
84992,125
86016,125
87040,127
88064,133
89088,126
90112,126
91136,128
92160,125
93184,125
94208,125
95232,128
96256,126
97280,125
98304,126
99328,127
100352,131
101376,126
102400,126
103424,127
104448,126
105472,126
106496,119
107520,122
108544,126
109568,120
110592,120
111616,121
112640,121
113664,120
114688,120
115712,128
116736,120
117760,121
118784,120
119808,141
120832,119
121856,120
122880,138
123904,120
124928,120
125952,133
126976,140
128000,130
129024,120
130048,120
131072,119
132096,122
133120,127
134144,142
135168,126
136192,128
137216,133
138240,120
139264,119
140288,139
141312,121
142336,120
143360,126
144384,125
145408,125
146432,126
147456,125
148480,129
149504,127
150528,131
151552,127
152576,129
153600,126
154624,126
155648,126
156672,128
157696,137
158720,126
159744,126
160768,128
161792,119
162816,120
163840,118
164864,127
165888,119
166912,119
167936,126
168960,122
169984,120
171008,126
172032,123
173056,122
174080,124
175104,125
176128,120
177152,122
178176,126
179200,120
180224,120
181248,134
182272,124
183296,121
184320,119
185344,133
186368,121
187392,120
188416,125
189440,121
190464,119
191488,118
192512,116
193536,115
194560,118
195584,120
196608,120
197632,121
198656,120
199680,118
200704,115
201728,115
202752,115
203776,115
204800,115
205824,121
206848,115
207872,116
208896,115
209920,115
210944,116
211968,116
212992,120
214016,120
215040,160
216064,120
217088,135
218112,122
219136,120
220160,146
221184,121
222208,121
223232,120
224256,120
225280,122
226304,126
227328,131
228352,131
229376,127
230400,128
231424,126
232448,126
233472,125
234496,125
235520,126
236544,131
237568,125
238592,127
239616,125
240640,132
241664,126
242688,123
243712,120
244736,187
245760,119
246784,127
247808,121
248832,121
249856,122
250880,127
251904,120
252928,126
253952,127
254976,121
256000,119
257024,132
258048,139
259072,129
260096,120
261120,120
262144,119
263168,124
264192,127
265216,120
266240,120
267264,123
268288,120
269312,159
270336,115
271360,123
272384,115
273408,121
274432,122
275456,122
