size_bytes,avg_alloc_time_ns
1024,202
2048,170
3072,167
4096,164
5120,171
6144,175
7168,166
8192,259
9216,169
10240,156
11264,160
12288,157
13312,155
14336,178
15360,157
16384,156
17408,173
18432,156
19456,302
20480,153
21504,158
22528,167
23552,154
24576,154
25600,154
26624,153
27648,153
28672,154
29696,155
30720,166
31744,152
32768,159
33792,153
34816,158
35840,160
36864,161
37888,178
38912,164
39936,168
40960,162
41984,161
43008,163
44032,162
45056,161
46080,167
47104,163
48128,168
49152,161
50176,161
51200,164
52224,167
53248,161
54272,170
55296,169
56320,170
57344,170
58368,166
59392,162
60416,168
61440,160
62464,162
63488,176
64512,168
65536,161
66560,168
67584,164
68608,161
69632,161
70656,161
71680,163
72704,164
73728,156
74752,156
75776,171
76800,154
77824,157
78848,153
79872,156
80896,154
81920,162
82944,152
83968,158
84992,160
86016,150
87040,154
88064,160
89088,146
90112,146
91136,147
92160,169
93184,151
94208,154
95232,145
96256,148
97280,153
98304,145
99328,145
100352,148
101376,146
102400,145
103424,152
104448,147
105472,139
106496,178
107520,140
108544,141
109568,140
110592,136
111616,145
112640,148
113664,138
114688,140
115712,145
116736,141
117760,139
118784,144
119808,139
120832,141
121856,144
122880,141
123904,141
124928,147
125952,144
126976,134
128000,139
129024,144
130048,133
131072,133
132096,134
133120,135
134144,148
135168,139
136192,141
137216,147
138240,140
139264,138
140288,141
141312,155
142336,139
143360,140
144384,139
145408,138
146432,145
147456,140
148480,138
149504,153
150528,148
151552,146
152576,152
153600,147
154624,145
155648,145
156672,146
157696,147
158720,152
159744,147
160768,146
161792,154
162816,146
163840,146
164864,152
165888,146
166912,146
167936,153
168960,146
169984,147
171008,145
172032,147
173056,159
174080,153
175104,145
176128,147
177152,158
178176,149
179200,146
180224,146
181248,145
182272,146
183296,143
184320,139
185344,137
186368,134
187392,131
188416,138
189440,140
190464,133
191488,127
192512,132
193536,127
194560,126
195584,132
196608,122
197632,119
198656,124
199680,119
200704,118
201728,119
202752,117
203776,118
204800,121
205824,118
206848,119
207872,129
208896,123
209920,118
210944,121
211968,118
212992,118
214016,117
215040,119
216064,117
217088,123
218112,118
219136,120
220160,124
221184,213
222208,178
223232,130
224256,117
225280,118
226304,118
227328,120
228352,118
229376,117
230400,120
231424,120
232448,118
233472,118
234496,117
235520,125
236544,123
237568,118
238592,118
239616,122
240640,123
241664,129
242688,126
243712,133
244736,132
245760,137
246784,282
247808,156
248832,147
249856,147
250880,148
251904,149
252928,170
253952,154
254976,153
256000,161
257024,162
258048,161
259072,169
260096,172
261120,161
262144,168
263168,162
264192,163
265216,168
266240,167
267264,161
268288,163
269312,161
270336,160
271360,161
272384,184
273408,160
274432,161
275456,161
276480,163
277504,168
278528,162
279552,161
280576,163
281600,162
282624,162
283648,162
284672,161
285696,161
286720,161
287744,161
288768,161
289792,168
290816,167
291840,161
292864,161
293888,161
294912,161
295936,169
296960,162
297984,156
299008,149
300032,154
301056,155
302080,161
303104,160
304128,161
305152,162
306176,160
307200,162
308224,162
309248,169
310272,162
311296,161
312320,160
313344,161
314368,169
315392,161
316416,162
317440,170
318464,161
319488,161
320512,162
321536,160
322560,317
323584,162
324608,161
325632,170
326656,160
327680,212
328704,170
329728,162
330752,161
331776,161
332800,160
333824,168
334848,169
335872,160
336896,161
337920,190
338944,162
339968,167
340992,161
342016,161
343040,162
344064,161
345088,160
346112,161
347136,177
348160,161
349184,161
350208,177
351232,162
352256,161
353280,167
354304,161
355328,161
356352,170
357376,162
358400,161
359424,162
360448,162
361472,161
362496,162
363520,161
364544,161
365568,174
366592,161
367616,163
368640,167
369664,163
370688,162
371712,169
372736,167
373760,162
374784,169
375808,160
376832,152
377856,161
378880,152
379904,150
380928,160
381952,152
382976,154
384000,156
385024,150
386048,155
387072,165
388096,150
389120,153
390144,153
391168,154
392192,161
393216,157
394240,154
395264,155
396288,159
397312,152
398336,150
399360,162
400384,152
401408,156
402432,154
403456,173
404480,154
405504,152
406528,150
407552,153
408576,158
409600,150
410624,158
411648,165
412672,151
413696,158
414720,154
415744,154
416768,155
417792,179
418816,154
419840,147
420864,146
421888,145
422912,152
423936,141
424960,144
425984,140
427008,134
428032,134
429056,133
430080,132
431104,131
432128,129
433152,134
434176,129
435200,129
436224,123
437248,122
438272,127
439296,116
440320,117
441344,118
442368,118
443392,117
444416,118
445440,118
446464,117
447488,123
448512,118
449536,118
450560,123
451584,118
452608,118
453632,123
454656,118
455680,117
456704,118
457728,137
458752,117
459776,118
460800,133
461824,118
462848,144
463872,259
464896,133
465920,117
466944,119
467968,116
468992,125
470016,118
471040,118
472064,117
473088,121
474112,147
475136,161
476160,161
477184,144
478208,118
479232,128
480256,161
481280,163
482304,161
483328,162
484352,161
485376,170
486400,162
487424,128
488448,124
489472,137
490496,161
491520,162
492544,162
493568,164
494592,161
495616,163
496640,161
497664,164
498688,162
499712,162
500736,162
501760,163
502784,153
503808,123
504832,168
505856,163
506880,164
507904,118
508928,118
509952,166
510976,161
512000,163
513024,169
514048,163
515072,160
516096,161
517120,166
518144,118
519168,118
520192,152
521216,163
522240,213
523264,189
524288,195
525312,198
526336,205
527360,200
528384,193
529408,176
530432,178
531456,180
532480,250
533504,192
534528,193
535552,161
536576,151
537600,134
538624,138
539648,139
540672,140
541696,141
542720,145
543744,182
544768,198
545792,137
546816,134
547840,139
548864,139
549888,162
550912,146
551936,153
552960,157
553984,135
555008,137
556032,139
557056,161
558080,141
559104,152
560128,156
561152,153
562176,135
563200,135
564224,144
565248,140
566272,142
567296,151
568320,150
569344,147
570368,136
571392,134
572416,138
573440,140
574464,142
575488,145
576512,156
577536,146
578560,141
579584,137
580608,138
581632,144
582656,141
583680,151
584704,152
585728,146
586752,140
587776,137
588800,138
589824,144
590848,141
591872,152
592896,149
593920,153
594944,141
595968,140
596992,138
598016,146
599040,141
600064,147
601088,153
602112,148
603136,137
604160,135
605184,138
606208,145
607232,141
608256,147
609280,153
610304,147
611328,135
612352,139
613376,138
614400,145
615424,142
616448,150
617472,154
618496,145
619520,134
620544,138
621568,138
622592,141
623616,152
624640,147
625664,153
626688,145
627712,136
628736,135
629760,138
630784,163
631808,146
632832,148
633856,153
634880,147
635904,136
636928,135
637952,139
638976,139
640000,146
641024,144
642048,150
643072,160
644096,136
645120,140
646144,164
647168,140
648192,357
649216,147
650240,156
651264,150
652288,136
653312,137
654336,138
655360,139
656384,141
657408,147
658432,153
659456,145
660480,140
661504,135
662528,138
663552,139
664576,147
665600,147
666624,153
667648,145
668672,134
669696,142
670720,298
671744,147
672768,141
673792,146
674816,149
675840,148
676864,134
677888,140
678912,138
679936,140
680960,147
681984,145
683008,152
684032,151
685056,136
686080,146
687104,138
688128,141
689152,146
690176,145
691200,162
692224,146
693248,135
694272,280
695296,138
696320,139
697344,141
698368,148
699392,147
700416,148
701440,135
702464,136
703488,138
704512,139
705536,147
706560,147
707584,148
708608,147
709632,134
710656,139
711680,138
712704,140
713728,146
714752,145
715776,147
716800,297
717824,134
718848,141
719872,138
720896,145
721920,147
722944,145
723968,153
724992,147
726016,135
727040,145
728064,138
729088,139
730112,146
731136,147
732160,148
733184,146
734208,135
735232,138
736256,138
737280,148
738304,141
739328,148
740352,157
741376,159
742400,136
743424,146
744448,147
745472,140
746496,142
747520,145
748544,150
749568,147
750592,134
751616,207
752640,242
753664,186
754688,141
755712,170
756736,201
757760,214
758784,134
759808,142
760832,139
761856,139
762880,185
763904,159
764928,180
765952,147
766976,135
768000,144
769024,143
770048,139
771072,147
772096,145
773120,157
774144,147
775168,138
776192,147
777216,138
778240,139
779264,141
780288,147
781312,151
782336,153
783360,135
784384,140
785408,169
786432,157
787456,147
788480,152
789504,153
790528,164
791552,141
792576,168
793600,143
794624,148
795648,147
796672,153
797696,162
798720,156
799744,132
800768,134
801792,138
802816,139
803840,141
804864,156
805888,149
806912,147
807936,245
808960,143
809984,159
811008,145
812032,147
813056,160
814080,163
815104,166
816128,140
817152,142
818176,143
819200,145
820224,145
821248,153
822272,155
823296,148
824320,136
825344,133
826368,143
827392,140
828416,140
829440,151
830464,149
831488,223
832512,135
833536,168
834560,139
835584,139
836608,141
837632,147
838656,151
839680,169
840704,135
841728,135
842752,137
843776,139
844800,141
845824,153
846848,150
847872,154
848896,134
849920,133
850944,138
851968,139
852992,140
854016,198
855040,147
856064,170
857088,134
858112,139
859136,167
860160,142
861184,141
862208,149
863232,164
864256,152
865280,135
866304,145
867328,139
868352,147
869376,141
870400,146
871424,147
872448,148
873472,137
874496,226
875520,139
876544,154
877568,141
878592,147
879616,149
880640,174
881664,134
882688,136
883712,144
884736,140
885760,147
886784,145
887808,149
888832,147
889856,133
890880,140
891904,150
892928,145
893952,153
894976,158
896000,167
897024,177
898048,160
899072,180
900096,193
901120,182
902144,184
903168,193
904192,196
905216,215
906240,169
907264,178
908288,170
909312,173
910336,174
911360,172
912384,175
913408,173
914432,154
915456,161
916480,156
917504,158
918528,159
919552,158
920576,160
921600,157
922624,140
923648,142
924672,149
925696,142
926720,142
927744,146
928768,149
929792,151
930816,136
931840,132
932864,138
933888,140
934912,164
935936,158
936960,155
937984,163
939008,142
940032,143
941056,144
942080,152
943104,147
944128,167
945152,156
946176,152
947200,141
948224,142
949248,149
950272,146
951296,147
952320,152
953344,152
954368,147
955392,152
956416,148
957440,161
958464,157
959488,164
960512,185
961536,186
962560,186
963584,172
964608,169
965632,170
966656,173
967680,175
968704,181
969728,188
970752,182
971776,174
972800,169
973824,171
974848,180
975872,274
976896,189
977920,182
978944,174
979968,165
980992,161
982016,166
983040,162
984064,165
985088,173
986112,180
987136,173
988160,211
989184,163
990208,163
991232,185
992256,171
993280,173
994304,181
995328,166
996352,159
997376,150
998400,150
999424,151
1000448,153
1001472,156
1002496,159
1003520,152
1004544,140
1005568,145
1006592,138
1007616,139
1008640,141
1009664,150
1010688,147
1011712,146
1012736,135
1013760,140
1014784,138
1015808,146
1016832,142
1017856,151
1018880,148
1019904,147
1020928,135
1021952,143
1022976,138
1024000,139
1025024,152
1026048,146
1027072,153
1028096,147
1029120,136
1030144,142
1031168,138
1032192,140
1033216,152
1034240,145
1035264,153
1036288,147
1037312,133
1038336,141
1039360,137
1040384,140
1041408,146
1042432,146
1043456,148
1044480,5110
1045504,5878
1046528,6866
1047552,6208
1048576,5849
